ATOSB,Q8WY48
ATOSB,LZTS2
ATOSB,FHL5
ATOSB,MDFI
ATOSB,FHL2
ATOSB,VINEX
ATOSB,PFD5
ATOSB,NCOA5
ATOSB,TRAF2
ATOSB,RBTN2
ATOSB,CACO2
ATOSB,ABI2
ATOSB,SLAI1
ATOSB,A0A1B0GV97
ATOSB,MYO1F
ATOSB,HSPB8
ATOSB,BAG4
ATOSB,Q6IAT7
ATOSB,SMBT1
ATOSB,MYOZ3
ATOSB,CG057
ATOSB,ZN219
ATOSB,MFI
ATOSB,GOGA2
ATOSB,AP4AT
ATOSB,Q7Z7A5
ATOSB,MKRN3
ATOSB,ZN572
ATOSB,B4DSR1
ATOSB,EFHC2
ATOSB,RBM11
ATOSB,IKZF1
ATOSB,WWOX
ATOSB,A4FU57
ATOSB,KRA62
ATOSB,KR195
ATOSB,IMA6
ATOSB,PDLI7
ATOSB,CRTP1
ATOSB,ZN655
ATOSB,WWP2
ATOSB,GASP3
ATOSB,TRI27
ATOSB,KRA63
KAP3,A8K8B9
KAP3,AKA7A
KAP3,TAF12
KAP3,A0A140VJI7
KAP3,KINH
KAP3,Q6PG46
KAP3,AKA28
KAP3,SMAKA
Q9BVX3,TFP11
WDR54,NUD22
KMT2E,AT131
RHBD2,IL32
RHBD2,F8W1Z2
RHBD2,AOFB
RHBD2,A0A024RBE8
RHBD2,FMO4
RHBD2,NALD2
RHBD2,A0A140VJG8
RHBD2,A0A3B3IRY9
RHBD2,FKBP8
RHBD2,MLX
RHBD2,ORNT2
RHBD2,ROMO1
RHBD2,TI17B
RHBD2,B2CL2
RHBD2,RM35
RHBD2,RSAD2
RHBD2,UBP30
RHBD2,CIDEB
RHBD2,B3KQU6
RHBD2,MYG1
RHBD2,GCSH
RHBD2,MPC2
RHBD2,CO8A1
RHBD2,E5RIK9
RHBD2,SG3A1
RHBD2,I27L1
RHBD2,CIA2A
RHBD2,Q96AL5
RHBD2,ACSF2
RHBD2,TSR1
RHBD2,NFU1
RHBD2,B2CL1
RHBD2,MMRN2
RHBD2,A0A140TA84
RHBD2,G3ST3
RHBD2,MID49
RHBD2,TEX44
RHBD2,TRBM
RHBD2,EFTU
RHBD2,Q502X2
RHBD2,TPRG1
RHBD2,DYHC1
RHBD2,A0A0S2Z4H7
RHBD2,ABHGA
RHBD2,H4G
RHBD2,H2B1B
RHBD2,MRM1
FBXL3,PICK1
FBXL3,CEP57
FBXL3,MSRA
GDE1,NTCP
REX1B,MDFI
REX1B,CTG1B
REX1B,G5E962
REX1B,MAGA3
REX1B,CTG1B
TMM98,AT1B3
TMM98,SGTA
TMM98,GOLM1
TMM98,STOM
TMM98,A0A087WVN2
TMM98,CXB1
TMM98,A6ZIE4
Q68D39,TRAF3
A0A140VJE8,H0Y818
A0A140VJE8,THIOM
A0A140VJE8,B7Z1Q3
A0A140VJE8,NUP54
A0A140VJE8,TEX12
A0A140VJE8,LONF1
A0A140VJE8,CTSRT
A0A140VJE8,FMNL2
A0A140VJE8,ARH
A0A140VJE8,CO3A1
A0A140VJE8,P121A
A0A140VJE8,KANK2
A0A140VJE8,NEUR4
A0A140VJE8,GPAN1
A0A140VJE8,PS1C2
A0A140VJE8,CC187
A0A140VJE8,X5D939
A0A140VJE8,U2AF1
ZN263,LNX1
ZN263,GPT2L
ZN263,PEPL
ZN263,TRI41
ZN263,Q9NZG6
ZN263,JKIP2
ZN263,ZSC22
ZN263,Q53Z40
TNR12,ZNT2
TNR12,KRA33
BI2L1,LANC1
BI2L1,BAG3
BI2L1,BAIP2
BI2L1,CRTP1
AL3B1,TRIM1
AL3B1,KR108
AL3B1,KRA11
AL3B1,CRTP1
AL3B1,KR123
AL3B1,KRA33
AL3B1,KRA13
AL3B1,KRA59
CCL26,PAX6
CCL26,TTMP
USH1C,PCDBC
USH1C,ENKD1
USH1C,AAPK2
USH1C,ANS4B
DBF4A,B2R6V2
Q0VAB0,NOX1
Q0VAB0,VRK2
Q0VAB0,B3KY34
Q0VAB0,B2RMP2
Q0VAB0,EMP1
Q0VAB0,PAQR1
